iter	Passed	Remaining
0	614	183596
1	1084	161606
2	1563	154748
3	2056	152214
4	2563	151263
5	3060	149958
6	3540	148178
7	4043	147587
8	4517	146081
9	5011	145345
10	5500	144512
11	5986	143673
12	6493	143352
13	7042	143877
14	7552	143491
15	8069	143230
16	8614	143411
17	9129	143028
18	9621	142296
19	10109	141527
20	10609	140953
21	11109	140389
22	11588	139564
23	12073	138842
24	12555	138113
25	13024	137261
26	13488	136379
27	13987	135876
28	14461	135139
29	14936	134425
30	15433	133918
31	15972	133772
32	16484	133371
33	16989	132916
34	17480	132352
35	18001	132013
36	18488	131417
37	18962	130740
38	19465	130268
39	19969	129804
40	20484	129404
41	20958	128746
42	21439	128140
43	21934	127617
44	22408	126983
45	22879	126336
46	23364	125769
47	23841	125165
48	24297	124460
49	24764	123822
50	25227	123171
51	25685	122499
52	26147	121856
53	26634	121333
54	27115	120787
55	27602	120270
56	28076	119693
57	28581	119252
58	29060	118705
59	29533	118135
60	30015	117603
61	30508	117112
62	30989	116578
63	31519	116229
64	32064	115926
65	32562	115448
66	33070	115006
67	33553	114476
68	34081	114098
69	34569	113584
70	35075	113130
71	35568	112632
72	36049	112097
73	36533	111576
74	37035	111105
75	37553	110683
76	38073	110264
77	38585	109819
78	39089	109352
79	39571	108821
80	40047	108276
81	40528	107747
82	41049	107322
83	41542	106822
84	42015	106273
85	42480	105706
86	42948	105150
87	43429	104626
88	43939	104171
89	44424	103656
90	44934	103200
91	45409	102665
92	45899	102162
93	46356	101589
94	46849	101096
95	47332	100581
96	47810	100057
97	48276	99508
98	48742	98962
99	49217	98434
100	49716	97955
101	50231	97508
102	50725	97017
103	51224	96538
104	51705	96024
105	52181	95501
106	52673	95009
107	53162	94511
108	53669	94045
109	54170	93566
110	54646	93046
111	55156	92583
112	55635	92069
113	56143	91601
114	56620	91084
115	57108	90585
116	57605	90100
117	58084	89588
118	58588	89112
119	59119	88678
120	59590	88154
121	60072	87646
122	60597	87201
123	61110	86736
124	61605	86247
125	62086	85738
126	62585	85254
127	63120	84817
128	63617	84330
129	64097	83819
130	64578	83311
131	65041	82779
132	65504	82249
133	65981	81738
134	66445	81211
135	66930	80710
136	67453	80254
137	67930	79744
138	68406	79233
139	68948	78798
140	69469	78337
141	69969	77853
142	70457	77355
143	70921	76831
144	71402	76327
145	71880	75819
146	72360	75313
147	72829	74797
148	73328	74312
149	73806	73806
150	74301	73317
151	74827	72858
152	75339	72384
153	75819	71880
154	76298	71376
155	76813	70904
156	77296	70404
157	77789	69912
158	78271	69410
159	78759	68914
160	79275	68442
161	79760	67944
162	80277	67472
163	80765	66976
164	81301	66519
165	81805	66035
166	82307	65550
167	82800	65057
168	83311	64578
169	83849	64119
170	84382	63657
171	84930	63204
172	85520	62781
173	86114	62358
174	86710	61936
175	87243	61466
176	87775	60996
177	88272	60501
178	88830	60047
179	89405	59603
180	89915	59115
181	90443	58639
182	90928	58134
183	91415	57631
184	91911	57134
185	92375	56617
186	92826	56092
187	93355	55616
188	93807	55093
189	94291	54589
190	94782	54090
191	95268	53588
192	95774	53097
193	96291	52613
194	96809	52128
195	97308	51633
196	97805	51136
197	98276	50627
198	98805	50147
199	99324	49662
200	99873	49191
201	100381	48700
202	100868	48198
203	101335	47687
204	101883	47214
205	102480	46762
206	102986	46269
207	103456	45759
208	103918	45246
209	104408	44746
210	104933	44261
211	105408	43754
212	105869	43242
213	106356	42741
214	106823	42232
215	107284	41721
216	107741	41209
217	108227	40709
218	108709	40207
219	109243	39725
220	109772	39240
221	110284	38748
222	110794	38256
223	111272	37753
224	111741	37247
225	112201	36738
226	112667	36232
227	113201	35747
228	113721	35258
229	114211	34760
230	114735	34271
231	115231	33774
232	115749	33284
233	116283	32797
234	116779	32300
235	117284	31805
236	117806	31315
237	118326	30824
238	118867	30338
239	119405	29851
240	119887	29350
241	120394	28854
242	120883	28355
243	121358	27852
244	121860	27356
245	122350	26857
246	122856	26361
247	123356	25865
248	123844	25365
249	124360	24872
250	124882	24379
251	125381	23882
252	125944	23396
253	126599	22927
254	127274	22460
255	127908	21984
256	128523	21504
257	129088	21014
258	129602	20516
259	130172	20026
260	130765	19539
261	131335	19048
262	131873	18552
263	132370	18050
264	132938	17557
265	133484	17061
266	134028	16565
267	134588	16070
268	135154	15575
269	135734	15081
270	136212	14576
271	136740	14076
272	137254	13574
273	137712	13067
274	138200	12563
275	138658	12057
276	139127	11552
277	139609	11048
278	140069	10542
279	140530	10037
280	140991	9533
281	141465	9029
282	141921	8525
283	142408	8022
284	142883	7520
285	143354	7017
286	143863	6516
287	144353	6014
288	144869	5514
289	145352	5012
290	145873	4511
291	146379	4010
292	146866	3508
293	147359	3007
294	147884	2506
295	148408	2005
296	148886	1503
297	149361	1002
298	149827	501
299	150290	0
